#time,T,H,O,H2,O2,OH,H2O,N2,N,NO,HO2,H2O2,AR,OH*,HE
0.0008690000000000146,2128.8765014237865,1.6909860592001098e-06,0.00023838476315577988,2.0816907680042858e-05,0.12523859955252414,0.0024717547613291244,0.11500944534166582,0.7569610865020194,9.72750617113217e-10,2.3929040532237716e-05,5.2950346863635516e-06,2.8533494817205984e-07,2.8710802273558637e-05,3.7546335079336164e-13,0.0
0.0008700000000000146,2128.8784797456,1.6905823823923035e-06,0.00023834678549514268,2.0813593098420825e-05,0.1252386872486558,0.002471563306042204,0.11500958002624573,0.7569610769272168,9.726115053749616e-10,2.394955211204693e-05,5.294913116673176e-06,2.852903741777172e-07,2.8710802273558637e-05,3.753938174803658e-13,0.0
0.0008710000000000147,2128.8804441812695,1.6901815346933713e-06,0.00023830907076139164,2.081030148239341e-05,0.12523877427184138,0.002471373159348308,0.11500971378684458,0.7569610673537902,9.72473370016759e-10,2.397006074244983e-05,5.294792422972596e-06,2.852461093313138e-07,2.8710802273558637e-05,3.753247764250029e-13,0.0
0.0008720000000000147,2128.8823948278973,1.6897834956066743e-06,0.00023827161709155992,2.0807032669164783e-05,0.12523886062674255,0.002471184312194585,0.115009846629898,0.75696105778173,9.723362041702753e-10,2.3990566443544182e-05,5.294672598522271e-06,2.852021514385081e-07,2.8710802273558637e-05,3.7525622398091096e-13,0.0
0.0008730000000000147,2128.884331781501,1.6893882449062757e-06,0.00023823442264478604,2.0803786497869782e-05,0.12523894631797133,0.002470996755624164,0.11500997856177103,0.7569610482110268,9.72200001045548e-10,2.4011069235217905e-05,5.294553636647334e-06,2.8515849833129115e-07,2.8710802273558637e-05,3.751881565542658e-13,0.0
0.0008740000000000147,2128.8862551379975,1.688995762347476e-06,0.00023819748558095343,2.08005628077122e-05,0.12523903135013284,0.0024708104806941003,0.11501010958882094,0.7569610386416717,9.720647538585113e-10,2.4031569137324e-05,5.294435530715265e-06,2.851151478422099e-07,2.8710802273558637e-05,3.7512057054393427e-13,0.0
0.0008750000000000148,2128.888164992386,1.6886060279080415e-06,0.0002381608040784711,2.07973614395144e-05,0.12523911572778956,0.002470625478543587,0.11501023971734496,0.7569610290736553,9.71930455891291e-10,2.405206616953521e-05,5.294318274153525e-06,2.8507209782582804e-07,2.8710802273558637e-05,3.750534623913712e-13,0.0
0.0008760000000000148,2128.8900614389863,1.688219021717792e-06,0.00023812437632906954,2.0794182235263705e-05,0.1252391994554721,0.0024704417403739274,0.11501036895359568,0.7569610195069685,9.717971004745337e-10,2.4072560351386717e-05,5.294201860443738e-06,2.8502934615244715e-07,2.8710802273558637e-05,3.749868285660711e-13,0.0
0.0008770000000000148,2128.891944571444,1.6878347240571353e-06,0.00023808820053768136,2.0791025038101927e-05,0.12523928253767913,0.002470259257448031,0.11501049730378132,0.7569610099416023,9.71664680986982e-10,2.4093051702277277e-05,5.2940862831210446e-06,2.8498689070796534e-07,2.8710802273558637e-05,3.7492066556527736e-13,0.0
0.0008780000000000148,2128.893814482739,1.6874531153555986e-06,0.00023805227492232212,2.078788969231494e-05,0.12523936497887783,0.0024700780210899034,0.11501062477406625,0.7569610003775477,9.715331908550533e-10,2.4113540241470328e-05,5.293971535773468e-06,2.84944729393735e-07,2.8710802273558637e-05,3.748549699136918e-13,0.0
0.0008790000000000149,2128.8956712651884,1.687074176190365e-06,0.00023801659771397122,2.078477604332224e-05,0.12523944678350415,0.002469898022684143,0.11501075137057117,0.7569609908147957,9.714026235524155e-10,2.4134025988095105e-05,5.293857612041279e-06,2.849028601264216e-07,2.8710802273558637e-05,3.7478973816318354e-13,0.0
